step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
66,1,0,,,0.2904629112022121,0.0014733545277394455,0.7934569716453552,5.5,4.53125,7039.212890625,94.99175,5.5009765625,13.882833608513524,0.0364144949626439,1.345226806344832e-05,7039.212890625,,489.78187150799204,105.23711809399538,16295.477049928422
67,1,0,,,0.3030519779704264,0.0015017762241527066,0.773144543170929,6.2900390625,5.333984375,6790.28125,88.76405078125,6.2900390625,14.827859559068344,0.03519971621799655,1.2648103717372645e-05,6790.28125,,468.1963495379896,125.33603779398254,16680.099890695954
68,1,0,,,0.2815940907546519,0.0014031965237997213,0.7842773199081421,6.7353515625,5.828125,7378.1689453125,101.6510205078125,6.73828125,14.79477451394987,0.03329121275333318,4.129903177701171e-06,7378.1689453125,,401.8061508569808,33.41339788201731,21169.623587124657
69,1,0,,,0.27242449142340774,0.0013956384612825445,0.8249022960662842,6.1826171875,5.234375,6978.3251953125,92.841134765625,6.18359375,16.19121674460314,0.034268891210198396,4.089885457868264e-06,6978.3251953125,,443.5669660519925,91.84175672999118,18146.14932808506
70,1,0,,0.7791666388511658,0.278656012549618,0.001456503363705508,0.7505859136581421,6.4619140625,5.51171875,7705.6884765625,106.1209921875,6.4638671875,16.871100519882784,0.034972272377107504,1.4456638621267981e-05,7705.6884765625,227.69916541100247,836.4053597200254,96.2960718620161,18286.62260029316
71,1,0,,,0.29810494833782286,0.001506185016779682,0.8021484017372131,5.8525390625,4.8837890625,7504.9560546875,100.1063291015625,5.853515625,13.450031329369635,0.035886548082702203,3.410939583298667e-05,7504.9560546875,,378.0346185710223,3.859449453011621,22780.432350159146
72,1,0,,,0.3059790812965275,0.0015033671539139704,0.78564453125,6.16796875,5.20703125,6608.6552734375,84.0726552734375,6.16796875,15.002750024122687,0.03393482030547683,4.113136560611298e-06,6608.6552734375,,439.3745177599776,102.16025645198533,17340.38111750616
73,1,0,,,0.26199876420184864,0.0013360956352812536,0.8668944835662842,6.451171875,5.4892578125,7337.72265625,98.2444248046875,6.453125,15.54279414857701,0.03448870331436805,1.2211686821863657e-05,7337.72265625,,482.83737573897815,115.00980918097775,17353.03341933718
74,1,0,,,0.2825422990008519,0.0013932790362503056,0.8421874642372131,7.1640625,6.232421875,8267.412109375,113.104513671875,7.1640625,14.811309382789158,0.03475133903117802,1.9315585813374237e-05,8267.412109375,,447.5345952200005,37.25272393299383,21038.458052279573
75,1,0,,,0.27912274649997926,0.001431952293803107,0.7594726085662842,7.0234375,6.0888671875,7609.27734375,105.676568359375,7.025390625,14.408188146492563,0.035154696996723266,1.963678812614515e-05,7609.27734375,,507.7213041440118,63.79709694898338,19530.35699977488
